iter	Passed	Remaining
0	235	235095
1	803	400939
2	1111	369424
3	1205	300223
4	1288	256318
5	1362	225771
6	1459	206970
7	1551	192394
8	1629	179456
9	1707	169085
10	1838	165318
11	2005	165080
12	2087	158516
13	2293	161541
14	2379	156263
15	2498	153683
16	2571	148706
17	2651	144646
18	2721	140523
19	2789	136668
20	2870	133816
21	2956	131441
22	3042	129237
23	3134	127477
24	3236	126242
